,ID,RA,DEC,z,z_Err,flag,source,comments,totobs,totexp
79,b'020099429',36.535111,-4.788867,0.735,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
80,b'020100106',36.727794,-4.787109,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
81,b'020100601',36.433837,-4.786791,0.437,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
82,b'020101257',36.741237,-4.78488,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
83,b'020101523',36.546581,-4.784481,0.522,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
84,b'020103020',36.747193,-4.780351,0.521,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
85,b'020103055',36.443055,-4.780128,0.934,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
86,b'020103060',36.885667,-4.780721,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
87,b'020103102',36.779624,-4.780729,0.313,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
88,b'020103304',36.518971,-4.780356,0.618,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
89,b'020103788',36.692191,-4.778169,1.009,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
90,b'020103980',36.777455,-4.778691,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
91,b'020104407',36.818921,-4.777682,0.324,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
92,b'020104470',36.495002,-4.77733,0.658,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
93,b'020104499',36.533216,-4.776665,0.456,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
94,b'020104584',36.770464,-4.776521,0.704,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
95,b'020104849',36.437499,-4.775932,0.739,-9.999,b'23',b'VVDS_DEEP',b'-',-9,-9
96,b'020104920',36.421512,-4.777123,0.779,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
97,b'020105095',36.907564,-4.776018,0.404,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
98,b'020105279',36.800412,-4.776043,0.303,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
99,b'020105391',36.502516,-4.775169,0.892,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
100,b'020105565',36.265428,-4.774298,0.833,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
101,b'020105605',36.525606,-4.77455,0.529,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
102,b'020105877',36.643479,-4.773216,0.884,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
103,b'020106651',36.804163,-4.776705,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
104,b'020106777',36.503917,-4.771885,0.677,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
105,b'020106790',36.272125,-4.771641,0.605,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
106,b'020106809',36.918354,-4.773077,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
107,b'020106882',36.340833,-4.771834,1.398,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
108,b'020107088',36.599955,-4.770549,0.656,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
109,b'020107430',36.761858,-4.77029,0.806,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
110,b'020107475',36.290417,-4.770422,0.821,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
111,b'020107558',36.650081,-4.769788,0.883,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
112,b'020107579',36.436106,-4.770459,3.817,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
113,b'020107680',36.784529,-4.769481,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
114,b'020107698',36.28991,-4.770252,0.825,-9.999,b'23',b'VVDS_DEEP',b'-',-9,-9
115,b'020107893',36.32746,-4.769203,0.326,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
116,b'020108164',36.305543,-4.768866,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
117,b'020108351',36.687906,-4.768912,1.466,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
118,b'020108395',36.320947,-4.767963,0.705,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
119,b'020108534',36.685988,-4.771344,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
120,b'020108642',36.560193,-4.766777,0.0,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
121,b'020109312',36.393046,-4.766924,0.636,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
122,b'020109363',36.729431,-4.765587,0.848,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
123,b'020109392',36.446955,-4.765949,0.215,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
124,b'020109464',36.752162,-4.765642,0.723,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
125,b'020109608',36.481005,-4.765594,0.682,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
126,b'020109624',36.531049,-4.765005,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
127,b'020109685',36.399375,-4.764985,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
128,b'020109865',36.420511,-4.765412,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
129,b'020110370',36.637134,-4.763779,0.521,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
130,b'020110436',36.758716,-4.763442,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
131,b'020110438',36.755827,-4.763222,0.722,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
132,b'020110643',36.798505,-4.767327,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
133,b'020110803',36.412841,-4.762559,0.456,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
134,b'020110930',36.584513,-4.762248,0.407,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
135,b'020111025',36.303038,-4.762019,0.943,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
136,b'020111027',36.484592,-4.764902,1.071,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
137,b'020111166',36.543666,-4.761891,0.693,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
138,b'020111755',36.465872,-4.760727,0.883,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
139,b'020111990',36.288655,-4.760137,0.828,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
140,b'020112112',36.544456,-4.760164,0.792,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
141,b'020112198',36.735093,-4.759376,0.735,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
142,b'020112386',36.957199,-4.758837,0.811,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
143,b'020112581',36.655302,-4.759945,0.0,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
144,b'020112755',36.548903,-4.758204,0.87,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
145,b'020112850',36.479069,-4.758337,1.376,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
146,b'020113194',36.48095,-4.757482,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
147,b'020113267',36.552647,-4.756565,0.722,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
148,b'020113408',36.74024,-4.756983,0.733,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
149,b'020114005',36.31387,-4.758378,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
150,b'020114040',36.558325,-4.755186,0.678,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
